Unnamed: 0,cafe_id,cafe,address,addrbunho,image_url
99,456977594,카페아르,제주특별자치도 제주시 이도2동,1030-21,http://t1.daumcdn.net/localfiy/960C445C01504C3A95DD4538941E8D3F
0,609663252,송당나무가드닝센터,제주특별자치도 제주시 구좌읍 송당리,874-4,http://t1.daumcdn.net/place/F2D4A47ADB164ABE98A4A4C38E812DF5
1,21464869,스프링데일골프앤리조트 통나무카페,제주특별자치도 서귀포시 남원읍 위미리,4625,
2,1244234773,커피에반하다 제주강정점,제주특별자치도 서귀포시 강정동,208-5,
3,692595658,자전거빵카페스캇,제주특별자치도 제주시 연동,1537-8,
4,1206631846,마가렛펜션,제주특별자치도 서귀포시 상예동,506,
5,46385338,전통란찻집,제주특별자치도 서귀포시 서귀동,427-14,
6,21455816,까페물고기,제주특별자치도 서귀포시 안덕면 창천리,804,http://t1.daumcdn.net/place/82DF0F85A29B45A5BA7EA17076343607
7,8335689,동백다방,제주특별자치도 제주시 한림읍 한림리,1314-109,
8,25147552,그러므로,제주특별자치도 제주시 이도2동,2026-11,http://t1.daumcdn.net/place/7DF881D562494648ABC44CB08AA46925
9,1216416117,진브루어스,제주특별자치도 제주시 이호일동,365,
10,25114893,카페머물다,제주특별자치도 제주시 조천읍 함덕리,산 272-33,http://t1.daumcdn.net/place/5B58CFA8DCEC4EEC84BB61A8FC768BAB
11,847261961,하얀산호카페,제주특별자치도 제주시 우도면 연평리,2649-1,
12,175437176,프롬더럭 노형점,제주특별자치도 제주시 노형동,3786-1,http://t1.daumcdn.net/place/5AB290400D8F401ABED484B1751BA960
13,27094256,레드노즈,제주특별자치도 서귀포시 안덕면 서광리,456,
14,1874799654,카페다락,제주특별자치도 서귀포시 상효동,1369,
15,25971741,카페 씨엘,제주특별자치도 제주시 용담삼동,2555,http://t1.daumcdn.net/cfile/220A894F543B3C5336
