,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,dong,address1,lat,lng
2812,제주특별자치도 제주시 오라이동 3295-10,3295-10,제주특별자치도 제주시 오라이동,블리스찬,2041023368,http://t1.daumcdn.net/place/76449742F2264B558C2660C2FA38AFFE,0.0,제주시,제주시,제주시,오라이동,"['제주특별자치도', '제주시', '오라이동']",33.473413341727536,126.50341360905236
918,제주특별자치도 제주시 외도일동 645-8,645-8,제주특별자치도 제주시 외도일동,벨롱벨롱,1196799335,http://t1.daumcdn.net/cfile/24482438573577BA1B,0.0,제주시,제주시,제주시,외도일동,"['제주특별자치도', '제주시', '외도일동']",33.48466871334994,126.43122583132367
3128,제주특별자치도 제주시 도두이동 719-1,719-1,제주특별자치도 제주시 도두이동,라붕제주,1764994175,http://t1.daumcdn.net/localfiy/searchregister_1454985009,0.0,제주시,제주시,제주시,도두이동,"['제주특별자치도', '제주시', '도두이동']",33.509569110662824,126.48186696307297
10,제주특별자치도 제주시 삼양이동 2176-12,2176-12,제주특별자치도 제주시 삼양이동,방방파티 제주삼화점,969286213,,0.0,제주시,제주시,제주시,삼양이동,"['제주특별자치도', '제주시', '삼양이동']",33.51984069959295,126.58229380765924
2178,제주특별자치도 제주시 노형동 2579-4,2579-4,제주특별자치도 제주시 노형동,웰빙요가명상카페,551712632,,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.48960017318394,126.47488849712308
1389,제주특별자치도 제주시 화북일동 1019-3,1019-3,제주특별자치도 제주시 화북일동,베이킹카페,375630130,http://t1.daumcdn.net/localfiy/D852716C9C4B4A2098954C63B262F1E4,0.0,제주시,제주시,제주시,화북일동,"['제주특별자치도', '제주시', '화북일동']",33.514457180443145,126.57405344620012
2967,제주특별자치도 제주시 이도이동 1169-2,1169-2,제주특별자치도 제주시 이도이동,더그레이,1606769668,http://t1.daumcdn.net/localfiy/searchregister_841929753,0.0,제주시,제주시,제주시,이도이동,"['제주특별자치도', '제주시', '이도이동']",33.50218128369465,126.53307241353959
817,제주특별자치도 제주시 이도1동 1452-4,1452-4,제주특별자치도 제주시 이도1동,과일아삭 중앙로점,27464469,http://t1.daumcdn.net/cfile/223FAE4356C0267124,0.0,제주시,제주시,제주시,이도1동,"['제주특별자치도', '제주시', '이도1동']",33.510445702626754,126.5241810074353
2508,제주특별자치도 제주시 삼도일동 532-6,532-6,제주특별자치도 제주시 삼도일동,제주고양이,2028562966,,0.0,제주시,제주시,제주시,삼도일동,"['제주특별자치도', '제주시', '삼도일동']",33.50270703195278,126.51966033629678
1996,제주특별자치도 제주시 용담2동 2002,2002,제주특별자치도 제주시 용담2동,엔제리너스 제주공항2호점,1360737185,http://t1.daumcdn.net/place/A3E1612768624A0EA38B5B0D1F99C707,1.0,제주시,제주시,제주시,용담2동,"['제주특별자치도', '제주시', '용담2동']",33.50778007210298,126.49313083713172
1982,제주특별자치도 제주시 연동 274-16,274-16,제주특별자치도 제주시 연동,신라스테이 제주 카페,1175807026,http://t1.daumcdn.net/place/8E6008D90CF54954993E0CFCBA05E544,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.48554489674138,126.49089756663174
1030,제주특별자치도 제주시 노형동 2611-2,2611-2,제주특별자치도 제주시 노형동,안녕과자야,1169938804,http://t1.daumcdn.net/place/CA90BC2ECA92404BB3E855248EA57C3F,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.485393366004864,126.47531844861419
970,제주특별자치도 제주시 연동 1523-3,1523-3,제주특별자치도 제주시 연동,컴플리트커피,25922832,http://t1.daumcdn.net/place/D28E61A22EE94E8AA647AAB24F6C5A31,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.4782544895144,126.49130601191193
632,제주특별자치도 제주시 아라이동 35-19,35-19,제주특별자치도 제주시 아라이동,봄봄,547771585,,0.0,제주시,제주시,제주시,아라이동,"['제주특별자치도', '제주시', '아라이동']",33.46037767670676,126.56114337989813
701,제주특별자치도 제주시 연동 271-39,271-39,제주특별자치도 제주시 연동,카페루팡,338325866,http://t1.daumcdn.net/place/E173212A53334E57AE1005AACB555DE8,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.49080467606754,126.49131011550625
2210,제주특별자치도 제주시 이도이동 1080-21,1080-21,제주특별자치도 제주시 이도이동,포스트커피,744578074,,0.0,제주시,제주시,제주시,이도이동,"['제주특별자치도', '제주시', '이도이동']",33.49271471303769,126.53599416205644
2052,제주특별자치도 제주시 삼도2동 1255,1255,제주특별자치도 제주시 삼도2동,라마다델리 라마다제주호텔,1777103934,,0.0,제주시,제주시,제주시,삼도2동,"['제주특별자치도', '제주시', '삼도2동']",33.518793724573484,126.51840033764611
2585,제주특별자치도 제주시 아라일동 6075-10,6075-10,제주특별자치도 제주시 아라일동,과일팩토리,25551121,,0.0,제주시,제주시,제주시,아라일동,"['제주특별자치도', '제주시', '아라일동']",33.46923207008684,126.5443425361687
3165,제주특별자치도 제주시 노형동 910-1,910-1,제주특별자치도 제주시 노형동,레트르,84507802,http://t1.daumcdn.net/localfiy/6E8900DC7E744E4F8E100E1E79FF6E02,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.487332386790726,126.48361771004961
1546,제주특별자치도 제주시 도남동 47-9,47-9,제주특별자치도 제주시 도남동,아이엠,10592981,,0.0,제주시,제주시,제주시,도남동,"['제주특별자치도', '제주시', '도남동']",33.496016485967644,126.52414373660605
2921,제주특별자치도 제주시 용담2동 450,450,제주특별자치도 제주시 용담2동,예그리나,24768798,http://t1.daumcdn.net/place/A47FE8A49ACC4085B4BD1A6920E9DC92,0.0,제주시,제주시,제주시,용담2동,"['제주특별자치도', '제주시', '용담2동']",33.51555645980472,126.51318294567498
1676,제주특별자치도 제주시 일도1동 1416-1,1416-1,제주특별자치도 제주시 일도1동,토리노카페,1134695830,http://t1.daumcdn.net/place/9A6710637BCC4DADB81C9581CE6464FC,0.0,제주시,제주시,제주시,일도1동,"['제주특별자치도', '제주시', '일도1동']",33.513415776781144,126.5237729707242
654,제주특별자치도 제주시 이호일동 367-1,367-1,제주특별자치도 제주시 이호일동,어제보다오늘,193625605,,0.0,제주시,제주시,제주시,이호일동,"['제주특별자치도', '제주시', '이호일동']",33.50286291550122,126.45698254126606
3316,제주특별자치도 제주시 도두일동 1742,1742,제주특별자치도 제주시 도두일동,아모렉스7080,1502880648,,0.0,제주시,제주시,제주시,도두일동,"['제주특별자치도', '제주시', '도두일동']",33.507489574098365,126.47024304846778
1680,제주특별자치도 제주시 이도2동 1768-20,1768-20,제주특별자치도 제주시 이도2동,어린왕자의다락방,19172468,http://t1.daumcdn.net/place/D5EF6F106EEC4B9B8E7FB30126E3E49C,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.49843781602025,126.53019556549883
151,제주특별자치도 제주시 이도2동 409,409,제주특별자치도 제주시 이도2동,아이스빈 일도점,14737236,,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.47981020323656,126.52717172332042
1253,제주특별자치도 제주시 노형동 291-10,291-10,제주특별자치도 제주시 노형동,미스틱3도,263044374,,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.450030102666275,126.48759894038372
2230,제주특별자치도 제주시 연동 256-5,256-5,제주특별자치도 제주시 연동,미나,24119022,,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.48374836515161,126.48726276793498
1232,제주특별자치도 제주시 건입동 709-1,709-1,제주특별자치도 제주시 건입동,이야기 카페,9392074,,0.0,제주시,제주시,제주시,건입동,"['제주특별자치도', '제주시', '건입동']",33.514538884901306,126.53943819574043
3364,제주특별자치도 제주시 이도2동 1768-15,1768-15,제주특별자치도 제주시 이도2동,첫눈에반한크레페,1667552078,,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.49929477579235,126.52983796173962
2312,제주특별자치도 제주시 도남동 922-41,922-41,제주특별자치도 제주시 도남동,라이브카페악단,14087875,,0.0,제주시,제주시,제주시,도남동,"['제주특별자치도', '제주시', '도남동']",33.49561074066867,126.52743450657017
2288,제주특별자치도 제주시 이도2동 1993-3,1993-3,제주특별자치도 제주시 이도2동,옌스스토리카페,128813184,http://t1.daumcdn.net/localfiy/15658594661C4251BB6E76EF9900FA85,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.492398826903596,126.53832013056756
2670,제주특별자치도 제주시 삼도2동 1261-8,1261-8,제주특별자치도 제주시 삼도2동,탑동시네마 뮤지엄카페,26099043,,0.0,제주시,제주시,제주시,삼도2동,"['제주특별자치도', '제주시', '삼도2동']",33.51744624410026,126.52339783870981
3261,제주특별자치도 제주시 용담일동 382-18,382-18,제주특별자치도 제주시 용담일동,카페스만스,845490784,http://t1.daumcdn.net/place/A5F5A5BD19FD438BACC7A13571153751,0.0,제주시,제주시,제주시,용담일동,"['제주특별자치도', '제주시', '용담일동']",33.515335918792424,126.514880492309
2827,제주특별자치도 제주시 내도동 348-1,348-1,제주특별자치도 제주시 내도동,거북이처럼,1812622562,,0.0,제주시,제주시,제주시,내도동,"['제주특별자치도', '제주시', '내도동']",33.49392186633311,126.44216706993535
1553,제주특별자치도 제주시 이도2동 2042-1,2042-1,제주특별자치도 제주시 이도2동,모리노코에,14704382,http://t1.daumcdn.net/place/EAAC1DA001AC4742A0C51B694ECEF3D4,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.487089794414466,126.53434561379923
804,제주특별자치도 제주시 연동 261-59,261-59,제주특별자치도 제주시 연동,project064다방,26784906,http://t1.daumcdn.net/place/80FF1046A8404EC9AE846CDE63467E05,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.4887953525813,126.48854145464065
3362,제주특별자치도 제주시 연동 272-34,272-34,제주특별자치도 제주시 연동,로얄호텔 구내카페,21500283,,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.48855949937034,126.4916976930032
2592,제주특별자치도 제주시 이도1동 1787-5,1787-5,제주특별자치도 제주시 이도1동,현숙,10989235,,0.0,제주시,제주시,제주시,이도1동,"['제주특별자치도', '제주시', '이도1동']",33.501234858938524,126.52790328823778
2627,제주특별자치도 제주시 이도2동 1769-15,1769-15,제주특별자치도 제주시 이도2동,라토커피,2020231452,http://t1.daumcdn.net/place/C4885F9568A94EA39D62918F0ED1D23E,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.49870779718719,126.52816666914768
2659,제주특별자치도 제주시 노형동 287-1,287-1,제주특별자치도 제주시 노형동,제주엔커피,24924609,,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.45415675522534,126.48695513555047
2661,제주특별자치도 제주시 아라일동 6075-18,6075-18,제주특별자치도 제주시 아라일동,카페 하코리,1285933199,http://t1.daumcdn.net/localfiy/BEC396558B394F13A271CFC204FDD825,0.0,제주시,제주시,제주시,아라일동,"['제주특별자치도', '제주시', '아라일동']",33.47024074815683,126.54404034109811
2094,제주특별자치도 제주시 이도2동 1771-17,1771-17,제주특별자치도 제주시 이도2동,엠츄로,23182795,,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.499329783941675,126.52861097002454
