,addrbunho,address,cafe,cafe_id,image_url,franchise,si,address1,town,ri,final_address,lat,lng
749,2578-4,제주특별자치도 제주시 노형동,더치박스,72822449,http://t1.daumcdn.net/localfiy/A1756CF6FB044D2FAABD9595308C8896,0.0,제주시,"['제주특별자치도', '제주시', '노형동']",제주시,제주시,제주특별자치도 제주시 노형동 2578-4,33.48944293216445,126.47437726222645
102,417-13,제주특별자치도 서귀포시 동홍동,커피516,1940356147,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '동홍동']",서귀포시,서귀포시,제주특별자치도 서귀포시 동홍동 417-13,33.2561060513133,126.57726883579765
3024,2147-1,제주특별자치도 서귀포시 안덕면 사계리,스테이위드커피,15264554,http://t1.daumcdn.net/place/C6D4D07500F24F90AB89F2EE177BC5A4,0.0,서귀포시,"['제주특별자치도', '서귀포시', '안덕면', '사계리']",안덕면,사계리,제주특별자치도 서귀포시 안덕면 사계리 2147-1,33.227755906081306,126.30329251320697
1064,57-1,제주특별자치도 서귀포시 남원읍 신례리,유나카페,25548687,http://t1.daumcdn.net/place/4560E2D7115643659B3DA6E99E7F36F1,0.0,서귀포시,"['제주특별자치도', '서귀포시', '남원읍', '신례리']",남원읍,신례리,제주특별자치도 서귀포시 남원읍 신례리 57-1,33.266039204624015,126.64184083626313
13,468-2,제주특별자치도 제주시 조천읍 선흘리,카페아꼬떼,26423460,,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '선흘리']",조천읍,선흘리,제주특별자치도 제주시 조천읍 선흘리 468-2,33.4572433524083,126.71089087798289
254,397-96,제주특별자치도 서귀포시 서홍동,콩,21456492,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '서홍동']",서귀포시,서귀포시,제주특별자치도 서귀포시 서홍동 397-96,33.25440874301001,126.55998670064031
99,1202-2,제주특별자치도 제주시 한림읍 한림리,해인의정제,27048565,,0.0,제주시,"['제주특별자치도', '제주시', '한림읍', '한림리']",한림읍,한림리,제주특별자치도 제주시 한림읍 한림리 1202-2,33.41299134422092,126.26440509700213
2691,3322,제주특별자치도 제주시 구좌읍 평대리,메이즈,21489085,,0.0,제주시,"['제주특별자치도', '제주시', '구좌읍', '평대리']",구좌읍,평대리,제주특별자치도 제주시 구좌읍 평대리 3322,33.48847900185383,126.80084128792932
2957,2120-115,제주특별자치도 제주시 한경면 저지리,아씨갤러리,27453944,,0.0,제주시,"['제주특별자치도', '제주시', '한경면', '저지리']",한경면,저지리,제주특별자치도 제주시 한경면 저지리 2120-115,33.339400091189916,126.26690629205045
3388,3002-12,제주특별자치도 제주시 아라이동,블리케이크,24484623,http://t1.daumcdn.net/place/16729F71AC6C4FA2A98E1FCD97E8F390,0.0,제주시,"['제주특별자치도', '제주시', '아라이동']",제주시,제주시,제주특별자치도 제주시 아라이동 3002-12,33.49346798839114,126.54266178177136
7,5,제주특별자치도 제주시 우도면 연평리,나포리카페,1082954673,,0.0,제주시,"['제주특별자치도', '제주시', '우도면', '연평리']",우도면,연평리,제주특별자치도 제주시 우도면 연평리 5,33.51482850847338,126.96880741614014
965,339,제주특별자치도 제주시 외도이동,외도339,104832990,http://t1.daumcdn.net/place/70ED803972D04686929894B4EB0B856D,0.0,제주시,"['제주특별자치도', '제주시', '외도이동']",제주시,제주시,제주특별자치도 제주시 외도이동 339,33.493647285383894,126.43173959871271
494,1089-8,제주특별자치도 제주시 건입동,희다방,1943501358,,0.0,제주시,"['제주특별자치도', '제주시', '건입동']",제주시,제주시,제주특별자치도 제주시 건입동 1089-8,33.51391435821664,126.5354074442013
2161,480-6,제주특별자치도 서귀포시 서귀동,소스테이,754928909,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '서귀동']",서귀포시,서귀포시,제주특별자치도 서귀포시 서귀동 480-6,33.24529885486339,126.5641355831631
2494,80-2,제주특별자치도 서귀포시 서귀동,하올람커피,1824865454,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '서귀동']",서귀포시,서귀포시,제주특별자치도 서귀포시 서귀동 80-2,33.24432822936385,126.56813628619514
2340,1557,제주특별자치도 제주시 애월읍 곽지리,고구마카페,1391971921,,0.0,제주시,"['제주특별자치도', '제주시', '애월읍', '곽지리']",애월읍,곽지리,제주특별자치도 제주시 애월읍 곽지리 1557,33.454191802268205,126.30791037335484
453,782-3,제주특별자치도 서귀포시 서귀동,그라시아스,295099561,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '서귀동']",서귀포시,서귀포시,제주특별자치도 서귀포시 서귀동 782-3,33.240519915317044,126.56508204758096
40,1312,제주특별자치도 제주시 애월읍 광령리,커피산책,1574963073,http://t1.daumcdn.net/place/99D0E3A66692477781AFA9508509681D,0.0,제주시,"['제주특별자치도', '제주시', '애월읍', '광령리']",애월읍,광령리,제주특별자치도 제주시 애월읍 광령리 1312,33.462011358778796,126.4402546149025
3337,1900-1,제주특별자치도 서귀포시 표선면 가시리,카페깡,814024450,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '표선면', '가시리']",표선면,가시리,제주특별자치도 서귀포시 표선면 가시리 1900-1,33.35337845702815,126.7719915178662
473,2806-2,제주특별자치도 제주시 애월읍 신엄리,제주맘C,1305206409,,0.0,제주시,"['제주특별자치도', '제주시', '애월읍', '신엄리']",애월읍,신엄리,제주특별자치도 제주시 애월읍 신엄리 2806-2,33.476662270269365,126.35389422708828
2053,2082-1,제주특별자치도 제주시 아라일동,cafe110,1593096070,http://t1.daumcdn.net/localfiy/1038AB7B12FF48CB9DB6828FDF213E6B,0.0,제주시,"['제주특별자치도', '제주시', '아라일동']",제주시,제주시,제주특별자치도 제주시 아라일동 2082-1,33.46873430114996,126.53943965288954
291,13,제주특별자치도 서귀포시 성산읍 오조리,빅웨이브,703484233,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '성산읍', '오조리']",성산읍,오조리,제주특별자치도 서귀포시 성산읍 오조리 13,33.468489529345426,126.92029795413656
93,195-1,제주특별자치도 서귀포시 성산읍 시흥리,네스카페 제주성산리조트점,26943770,http://t1.daumcdn.net/place/88B1AB1B65A345B99BBA8A168835EFFA,0.0,서귀포시,"['제주특별자치도', '서귀포시', '성산읍', '시흥리']",성산읍,시흥리,제주특별자치도 서귀포시 성산읍 시흥리 195-1,33.47331547759049,126.91052065405454
1296,343-2,제주특별자치도 제주시 우도면 연평리,아이스크림연구소카페,26885574,http://t1.daumcdn.net/place/00CB8F9F060F4472ACD50A62BDBA8C59,0.0,제주시,"['제주특별자치도', '제주시', '우도면', '연평리']",우도면,연평리,제주특별자치도 제주시 우도면 연평리 343-2,33.49356244674611,126.95966401354582
1783,922,제주특별자치도 제주시 조천읍 선흘리,동백,1208953462,http://t1.daumcdn.net/place/19045D51225A4ED984EA1A7CAB4E4D07,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '선흘리']",조천읍,선흘리,제주특별자치도 제주시 조천읍 선흘리 922,33.50898946675676,126.71458488522252
3278,196-2,제주특별자치도 서귀포시 성산읍 성산리,스토리텔링,17434117,http://t1.daumcdn.net/cfile/151C23334F90F61821,0.0,서귀포시,"['제주특별자치도', '서귀포시', '성산읍', '성산리']",성산읍,성산리,제주특별자치도 서귀포시 성산읍 성산리 196-2,33.4638922186813,126.93410577990848
2779,200-10,제주특별자치도 제주시 애월읍 하귀1리,드카페,1830339195,,0.0,제주시,"['제주특별자치도', '제주시', '애월읍', '하귀1리']",애월읍,하귀1리,제주특별자치도 제주시 애월읍 하귀1리 200-10,33.48264904737164,126.41417049476537
3046,1269-19,제주특별자치도 제주시 조천읍 함덕리,망고레이 제주함덕점,27418367,http://t1.daumcdn.net/place/0B0BBADB962649ECBBCD5F9ECAD591B3,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '함덕리']",조천읍,함덕리,제주특별자치도 제주시 조천읍 함덕리 1269-19,33.5423952576387,126.6668727692532
2665,565-4,제주특별자치도 제주시 삼도1동,장호다방,9981658,,0.0,제주시,"['제주특별자치도', '제주시', '삼도1동']",제주시,제주시,제주특별자치도 제주시 삼도1동 565-4,33.49968410672603,126.51852770867903
3017,2814-5,제주특별자치도 제주시 용담1동,문빵9 공항본점,684628891,http://t1.daumcdn.net/localfiy/AA9CC5B669914B889768736357B659B3,0.0,제주시,"['제주특별자치도', '제주시', '용담1동']",제주시,제주시,제주특별자치도 제주시 용담1동 2814-5,33.50392620230136,126.51324806760125
2043,2204,제주특별자치도 제주시 조천읍 신촌리,하루이수다,24927052,,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '신촌리']",조천읍,신촌리,제주특별자치도 제주시 조천읍 신촌리 2204,33.53737211455247,126.61949492968381
586,753-2,제주특별자치도 서귀포시 서홍동,썬샤인코스트,161216814,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '서홍동']",서귀포시,서귀포시,제주특별자치도 서귀포시 서홍동 753-2,33.24203459714044,126.55285973614035
1017,552-2,제주특별자치도 제주시 조천읍 교래리,교래카페,1525465944,http://t1.daumcdn.net/localfiy/70659556D83B472A9DBB661E68B0511D,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '교래리']",조천읍,교래리,제주특별자치도 제주시 조천읍 교래리 552-2,33.437045110151985,126.68058050808843
161,6093-7,제주특별자치도 제주시 아라일동,미녀들의수다 아라스위첸점,556270938,,0.0,제주시,"['제주특별자치도', '제주시', '아라일동']",제주시,제주시,제주특별자치도 제주시 아라일동 6093-7,33.47358804569125,126.54419494221104
3169,1778-1,제주특별자치도 제주시 이도2동,마카롱,14610835,,0.0,제주시,"['제주특별자치도', '제주시', '이도2동']",제주시,제주시,제주특별자치도 제주시 이도2동 1778-1,33.49975316382766,126.5280404692527
318,1821-7,제주특별자치도 서귀포시 호근동,말랑제주,145451396,http://t1.daumcdn.net/localfiy/E53C3F40C8814582BE7CD9ADB8D04C64,0.0,서귀포시,"['제주특별자치도', '서귀포시', '호근동']",서귀포시,서귀포시,제주특별자치도 서귀포시 호근동 1821-7,33.256146938577515,126.5237269117143
330,1448,제주특별자치도 제주시 일도일동,간세라운지,27080594,http://t1.daumcdn.net/cfile/2154044055F1363A34,0.0,제주시,"['제주특별자치도', '제주시', '일도일동']",제주시,제주시,제주특별자치도 제주시 일도일동 1448,33.5126064797769,126.5243284734586
958,15-2,제주특별자치도 제주시 화북일동,DP513,1694795313,,0.0,제주시,"['제주특별자치도', '제주시', '화북일동']",제주시,제주시,제주특별자치도 제주시 화북일동 15-2,33.51764741839907,126.57680193469223
