,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,addrbunho,address,cafe,cafe_id,image_url
2883,56.0,,,1034-1,제주특별자치도 제주시 한림읍 한림리,씨리얼,1665910227,http://t1.daumcdn.net/place/E6017A18FEAB4D9BA73119955CECFACD
2884,57.0,,,292-4,제주특별자치도 제주시 이호일동,카페그라나다,1440596180,http://t1.daumcdn.net/place/1E2B9C83DA3C43E38776913A22D7B7AF
2885,58.0,,,2090-1,제주특별자치도 서귀포시 안덕면 상창리,숨비나리카페,26892272,http://t1.daumcdn.net/place/FD6BDD929EE448B687D220C2F01ABF58
2886,59.0,,,218,제주특별자치도 서귀포시 법환동,뺄락,500837796,http://t1.daumcdn.net/cfile/27606B345789BF6010
2887,60.0,,,3196,제주특별자치도 제주시 조천읍 함덕리,챠우,20713665,
2888,61.0,,,1938-5,제주특별자치도 제주시 도련일동,탐앤탐스 제주삼화지구점,24454786,http://t1.daumcdn.net/place/F46FE78B2DA44AFD97E0917475497F9C
2890,63.0,,,2031-2,제주특별자치도 제주시 구좌읍 평대리,평대우유차,1455842682,
2891,64.0,,,2579-1,제주특별자치도 제주시 노형동,피카소,20013713,http://t1.daumcdn.net/place/A14F6ECD13754E5E93577322CE5287C2
2892,65.0,,,2203-2,제주특별자치도 제주시 한경면 고산리,수월다방,10556350,
2893,66.0,,,385-4,제주특별자치도 제주시 애월읍 하귀1리,카페미트,2117293311,http://t1.daumcdn.net/localfiy/E87097A826BB4FF1B9A0B45F7F75E054
2894,67.0,,,473-2,제주특별자치도 제주시 구좌읍 하도리,리치망고 하도점,26915456,http://t1.daumcdn.net/place/D07D94DFB6214E11AB24B82DCC337E6F
2895,68.0,,,1279-12,제주특별자치도 제주시 애월읍 신엄리,애월에서,25689482,http://t1.daumcdn.net/cfile/2238D23453F8110E2C
2896,69.0,,,1069-1,제주특별자치도 제주시 화북일동,에이바우트커피 삼화점,878012600,http://t1.daumcdn.net/place/3E94FF79AEFB410ABDC1A90ADB1C805A
2897,70.0,,,297-5,제주특별자치도 제주시 애월읍 하가리,꿈꾸는고양이,27411422,http://t1.daumcdn.net/cfile/245D084E5762456523
2898,71.0,,,1524-3,제주특별자치도 제주시 구좌읍 세화리,구씨커피로스터스,877966090,http://t1.daumcdn.net/localfiy/F3322C8C14B742A09689D7070AC5771C
2899,72.0,,,515-10,제주특별자치도 제주시 구좌읍 평대리,카페구르미,743280846,
2900,73.0,,,440-1,제주특별자치도 서귀포시 서홍동,바끄레카페,835239739,
2901,74.0,,,산 24,제주특별자치도 서귀포시 안덕면 서광리,스타벅스 제주신화월드R점,258547215,http://t1.daumcdn.net/place/83CA2D2165B2464F82FE62508A3DC151
2903,76.0,,,203,제주특별자치도 제주시 한림읍 옹포리,AND유CAFE,742999664,http://t1.daumcdn.net/place/6FE386AA424945C3AA339016539A1F93
2904,77.0,,,714-1,제주특별자치도 서귀포시 신효동,예담티카페,1775347710,
2906,79.0,,,2045-1,제주특별자치도 서귀포시 표선면 성읍리,분홍분홍해,1566296022,
2907,80.0,,,392-11,제주특별자치도 제주시 일도2동,메리앤커피,335647369,http://t1.daumcdn.net/localfiy/searchregister_558229859
2909,82.0,,,429-7,제주특별자치도 제주시 외도일동,카페몽니다리,87754050,http://t1.daumcdn.net/place/3F5615F0216D4CD1A960970E693762E7
2910,83.0,,,409-5,제주특별자치도 서귀포시 남원읍 태흥리,간이옥돔역,27184109,http://t1.daumcdn.net/place/19025A2212CF462E960DD42D82438F5B
2911,84.0,,,1139-3,제주특별자치도 제주시 일도1동,카페온,2137039503,
2912,85.0,,,2611-2,제주특별자치도 제주시 노형동,안녕과자야,1169938804,http://t1.daumcdn.net/place/CA90BC2ECA92404BB3E855248EA57C3F
2913,86.0,,,905,제주특별자치도 제주시 한림읍 한림리,커피마마 제주한림점,1956172931,http://t1.daumcdn.net/localfiy/A1C7AFDC2FA64F40941BCAC975ABCF1B
2914,87.0,,,312-1,제주특별자치도 제주시 우도면 연평리,디바인커피,1868305338,http://t1.daumcdn.net/place/2BD7C8ED107B44B88972557B296E3E29
2915,88.0,,,2300-6,제주특별자치도 제주시 삼양이동,플랜비스터디카페 삼화점,618642706,
2916,89.0,,,1477-3,제주특별자치도 서귀포시 서호동,더벤티 서귀포신시가지점,860479742,http://t1.daumcdn.net/localfiy/24860FC2911342CBA100346B463D2A47
2917,90.0,,,441,제주특별자치도 서귀포시 표선면 표선리,카페희상,1858538846,http://t1.daumcdn.net/place/AE936DB7CFEA455C8B29E0CFB56A72DE
2918,91.0,,,650,제주특별자치도 제주시 한림읍 옹포리,오리지날로맨스,1130369934,http://t1.daumcdn.net/place/F5FB6ACA92D74D3D94182885AF2D6A78
2920,93.0,,,1158,제주특별자치도 제주시 애월읍 고내리,1158족욕카페,1787101427,http://t1.daumcdn.net/place/5678ABE30B67447184E5FD2804A4A2B7
2921,94.0,,,859,제주특별자치도 제주시 우도면 연평리,하하호호 우도본점,21531701,http://t1.daumcdn.net/place/546B1454373A4938ABD35D0F0DF74F1B
2922,95.0,,,산 34,제주특별자치도 제주시 오등동,별빛누리가페테리아,15836134,
2923,96.0,,,191-6,제주특별자치도 서귀포시 표선면 세화리,물팡카페,1321823596,http://t1.daumcdn.net/place/7A98DEC230244F56988A9BA8CBA1E346
2924,97.0,,,1421-3,제주특별자치도 제주시 건입동,몰랑몰랑카페,1291755548,
2925,98.0,,,567,제주특별자치도 제주시 애월읍 금성리,애월쌀롱,691711301,
2926,99.0,,,2469,제주특별자치도 제주시 우도면 연평리,우도바라기,1015501764,
2927,100.0,,,587-3,제주특별자치도 서귀포시 표선면 성읍리,초가헌,2117340011,
2928,0.0,,,587-3,제주특별자치도 서귀포시 표선면 성읍리,초가헌,2117340011,
2930,2.0,,,171,제주특별자치도 서귀포시 안덕면 사계리,몽마르카부덴,1536403197,http://t1.daumcdn.net/localfiy/E7FF450505134081A3F42E64CAFC1775
2931,3.0,,,1479-1,제주특별자치도 제주시 일도1동,휘카페 제주1호점,1988114779,
2932,4.0,,,2453-1,제주특별자치도 서귀포시 대정읍 신도리,노을과어울림,25611455,http://t1.daumcdn.net/place/58431DCC6253471CB647006B1B60F732
2933,5.0,,,427-14,제주특별자치도 서귀포시 서귀동,전통란찻집,46385338,
2934,6.0,,,965-1,제주특별자치도 제주시 애월읍 수산리,밀테이블가든,1242750756,http://t1.daumcdn.net/place/A19F14D68444459DB93668EBC822B618
2935,7.0,,,1803,제주특별자치도 서귀포시 대포동,카페커피메딕,1554445070,
2936,8.0,,,625,제주특별자치도 서귀포시 상예동,히든클리프호텔 앤 네이쳐 치치라운지,733510519,
2937,9.0,,,1482-2,제주특별자치도 제주시 이도1동,카페띠아모 제주중앙점,17624227,
2938,10.0,,,392-5,제주특별자치도 제주시 일도2동,비어박스,13006148,
2940,12.0,,,930-1,제주특별자치도 서귀포시 서호동,하늘문카페,1368445762,
2942,14.0,,,1045-19,제주특별자치도 제주시 건입동,대지,15995114,
2943,15.0,,,2518-1,제주특별자치도 서귀포시 색달동,카페16,1273727606,http://t1.daumcdn.net/localfiy/F1B3AA1B2E714C4DA35F1F60B80FF207
2944,16.0,,,421-1,제주특별자치도 서귀포시 성산읍 신산리,제이아일랜드카페,2139926867,http://t1.daumcdn.net/place/4499266811CA4B2CABEB54B76748C3E2
2945,17.0,,,426-6,제주특별자치도 서귀포시 표선면 토산리,매일더탐나,634457668,http://t1.daumcdn.net/localfiy/676FA02EA9984747832107738A32002D
2946,18.0,,,814-24,제주특별자치도 제주시 구좌읍 종달리,모뉴에트,1307726606,http://t1.daumcdn.net/place/FD63C1B68C4A406580E221AF5C9211BF
2947,19.0,,,348-2,제주특별자치도 제주시 이호일동,고망딱새,23066935,http://t1.daumcdn.net/place/280C1E40A5F54D6FB46C7EDBA7B9123D
2948,20.0,,,1925-2,제주특별자치도 제주시 삼양일동,노을인,541563988,http://t1.daumcdn.net/localfiy/85AE7001C33E4332979B659B24668B47
2949,21.0,,,1541-9,제주특별자치도 서귀포시 대정읍 하모리,카페달콩,24065310,http://t1.daumcdn.net/cfile/236E183553452AD12D
2950,22.0,,,965-1,제주특별자치도 제주시 애월읍 수산리,제주무이,24973813,http://t1.daumcdn.net/localfiy/F3528046E22347E2AEA4928B6DCDC0C7
2951,23.0,,,1615-2,제주특별자치도 제주시 조천읍 신촌리,에밀리파크,732972914,http://t1.daumcdn.net/place/993AEAE7484541A9AC89BC55D9C02133
2952,24.0,,,911-6,제주특별자치도 제주시 노형동,플랏포커피,2042761032,http://t1.daumcdn.net/place/D7548CD0D67F4A92B2547579633EC23E
2953,25.0,,,1984-10,제주특별자치도 제주시 화북일동,감성커피화북점,1165753785,http://t1.daumcdn.net/place/E1C727AC93D74CC0B242E9950B42A447
2954,26.0,,,1005-6,제주특별자치도 제주시 화북일동,셀렉토커피 제주삼화점,59954839,http://t1.daumcdn.net/localfiy/2F9C5A8D045243D3BE5CBA0D7DB4B49F
2955,27.0,,,637-5,제주특별자치도 제주시 외도일동,별별슬라임,712251450,
2956,28.0,,,3804-15,제주특별자치도 제주시 노형동,건강한차이야기,1926333996,
2958,30.0,,,674-48,제주특별자치도 제주시 건입동,오다방,11186789,
2959,31.0,,,1740-2,제주특별자치도 제주시 한림읍 협재리,슬랩,555396252,
2960,32.0,,,529-9,제주특별자치도 제주시 삼도1동,깐니네,124449765,http://t1.daumcdn.net/localfiy/EF8D453E9DB0424EB56F628FDD37A4F9
2961,33.0,,,495-6,제주특별자치도 제주시 외도일동,소설속에,26849911,
2963,35.0,,,486,제주특별자치도 제주시 조천읍 북촌리,알마커피제작소,1491888881,http://t1.daumcdn.net/localfiy/searchregister_1011998355
2964,36.0,,,163,제주특별자치도 서귀포시 법환동,토리카페,20098634,
2965,37.0,,,439-5,제주특별자치도 서귀포시 표선면 토산리,소담카페,1475505222,
2966,38.0,,,325-1,제주특별자치도 서귀포시 성산읍 오조리,인더오조,1771624099,http://t1.daumcdn.net/place/2095001C4E874E3DAE4213D75C226260
2967,39.0,,,2467,제주특별자치도 제주시 애월읍 애월리,제주담다,572717031,http://t1.daumcdn.net/place/DF415D9CB59E4B45A96D87A1B509CC0D
2968,40.0,,,1036,제주특별자치도 제주시 한림읍 한림리,정낭까페,569237782,
2969,41.0,,,4166-9,제주특별자치도 제주시 조천읍 함덕리,진명 북카페,1609197528,http://t1.daumcdn.net/localfiy/474DBD8285D9417B8D7E30F92AF3D186
2970,42.0,,,1807-7,제주특별자치도 서귀포시 표선면 세화리,북살롱이마고,1376491962,http://t1.daumcdn.net/place/E82DE0F56D72474B9B0471351FB5F04B
2971,43.0,,,437-1,제주특별자치도 서귀포시 성산읍 삼달리,카페148,980884989,http://t1.daumcdn.net/place/056DBEFD45EE48DCB832B26A7EFA6984
2972,44.0,,,728-4,제주특별자치도 서귀포시 성산읍 삼달리,카페벨에포크,1712596669,http://t1.daumcdn.net/place/850B7F0DFF2F4093BDB28D23386CCA4A
2974,46.0,,,1295-16,제주특별자치도 제주시 노형동,스타벅스 제주노형점,26801319,http://t1.daumcdn.net/place/B02EC65D6AED480B8FEAC2C54E36D1F4
