,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,lat,lng
508,제주특별자치도 서귀포시 표선면 표선리 880-2,880-2,제주특별자치도 서귀포시 표선면 표선리,파피용살롱드떼,1744283951,http://t1.daumcdn.net/localfiy/57F9E120A36B469899765FE7B1E2E810,0.0,서귀포시,표선면,표선리,33.32598785711923,126.83657273430251
509,제주특별자치도 제주시 연동 272-46,272-46,제주특별자치도 제주시 연동,망고식스 신제주점,26353548,http://t1.daumcdn.net/place/FB1FC442515849258EE1706AE934020C,0.0,제주시,제주시,연동,33.488248370506994,126.49058046752869
510,제주특별자치도 제주시 연동 279-1,279-1,제주특별자치도 제주시 연동,루카,26835700,http://t1.daumcdn.net/place/84D3FBA0B6D54614B2DF09262FF02F63,0.0,제주시,제주시,연동,33.48275776942676,126.49104298435907
511,제주특별자치도 제주시 한림읍 수원리 249,249,제주특별자치도 제주시 한림읍 수원리,카페데바,1585655885,http://t1.daumcdn.net/place/34B4C0C3A74942B688F022930E49FD70,0.0,제주시,한림읍,수원리,33.43679280551645,126.27044134634623
512,제주특별자치도 서귀포시 서귀동 314-2,314-2,제주특별자치도 서귀포시 서귀동,까사로마커피숍,1039795272,,0.0,서귀포시,서귀포시,서귀동,33.2467366271924,126.55867312063792
513,제주특별자치도 제주시 아라일동 2574,2574,제주특별자치도 제주시 아라일동,브런치카페올레락,162486547,http://t1.daumcdn.net/localfiy/916D6F75E2294CC3ABB6F407467C3135,0.0,제주시,제주시,아라일동,33.48387143875999,126.53587777594744
514,제주특별자치도 제주시 이도2동 1022-6,1022-6,제주특별자치도 제주시 이도2동,지유명차 제주이도점,26590518,http://t1.daumcdn.net/cfile/2553C644555F128125,0.0,제주시,제주시,이도2동,33.493266531661746,126.53216902591593
515,제주특별자치도 제주시 구좌읍 하도리 1091-5,1091-5,제주특별자치도 제주시 구좌읍 하도리,하도리1091,27446173,http://t1.daumcdn.net/place/88FBCE9EC4104CFDA185CFB0A34E8C03,0.0,제주시,구좌읍,하도리,33.508701443566345,126.88804613034156
516,제주특별자치도 제주시 봉개동 289-2,289-2,제주특별자치도 제주시 봉개동,더블루브리즈,26639829,http://t1.daumcdn.net/cfile/2164403C554CE18C30,0.0,제주시,제주시,봉개동,33.46738037202478,126.61051947100808
517,제주특별자치도 제주시 애월읍 곽지리 1381,1381,제주특별자치도 제주시 애월읍 곽지리,애월더선셋,27149644,http://t1.daumcdn.net/place/AF64BE5EB61F4229B44B9F9265CF780B,0.0,제주시,애월읍,곽지리,33.456032459863536,126.30881215316928
518,제주특별자치도 제주시 한림읍 옹포리 588-2,588-2,제주특별자치도 제주시 한림읍 옹포리,다흰,529445079,,0.0,제주시,한림읍,옹포리,33.40201662006364,126.25104389843874
