,0
1854,821064310
1855,24119472
1856,924582450
1857,1768726452
1858,1232621458
1859,1328390041
1860,837567380
1861,24909927
1862,27222222
1863,2058969392
1864,21547276
1865,802639048
1866,158772406
1867,2060626816
1868,621950027
1869,300318160
1870,27167127
1871,27114938
1872,27080594
1873,1022596636
1874,990678473
1875,1718139563
1876,775734317
1877,641933235
1878,51590542
1879,1212481627
1880,684628891
1881,2136787903
1882,18325298
1883,2144096934
1884,1365500111
1885,11417872
1886,928437361
1887,868062632
1888,112645244
1889,550559893
1890,16026907
1891,554096439
1892,616350321
1893,2072114149
1894,1236809149
1895,22960776
1896,1645145228
1897,679736866
1898,1608544288
1899,1238209144
1900,1643413816
1901,115388983
1902,1540797741
1903,10910217
1904,501601035
1905,27469103
1906,276626600
1907,924538990
1908,791617298
1909,973636144
1910,614956036
1911,180233234
1912,796232916
1913,13312181
1914,1613854186
1915,24638022
1916,417118251
1917,822705610
1918,651803880
1919,1419063288
1920,794766180
1921,161886635
1922,25161792
1923,378668962
1924,167921675
1925,25130846
1926,9046661
1927,27423032
1928,1488087380
1929,24907533
1930,1569763514
1931,497123240
1932,24812560
1933,1457492911
1934,19639423
1935,1672946383
1936,1238343741
1937,17164058
1938,25757901
1939,25646910
1940,15639315
1941,463197714
1942,1932882486
1943,18561076
1944,1354655532
1945,1918075858
1946,24812556
1947,13580319
1948,24870029
1949,2046887452
1950,1209866730
1951,26222794
1952,730563598
1953,185339038
1954,27441155
1955,27335469
1956,14083953
1957,71203947
1958,367412374
1959,380586209
1960,1603000223
1961,1614226536
1962,27235070
1963,1361998175
1964,12624890
1965,416504921
1966,132151202
1967,335498272
1968,1567211065
1969,1843220718
1970,875974284
1971,26785455
1972,27369024
1973,368243275
1974,719459055
1975,293812210
1976,2133422542
1977,26190973
1978,27420343
1979,1432716764
1980,58265453
1981,923425597
1982,25665541
1983,1247747156
1984,104832990
1985,693016371
1986,396403026
1987,1682263918
1988,761104985
1989,100535814
1990,24484623
1991,1508075999
1992,1271261114
1993,8938943
1994,54744498
1995,819063138
1996,26573067
1997,1955021614
1998,23921556
1999,1222986397
2000,1108568093
2001,1228219754
2002,1385610448
2003,528303189
2004,2133847753
2005,27483377
2006,145582473
2007,26532312
2008,21485427
2009,26915477
2010,97770278
2011,986713592
2012,1271201305
2013,1416265981
2014,937776711
2015,217787831
2016,27125450
2017,646627049
2018,378533601
2019,965875119
2020,203716879
2021,9725457
2022,1945810138
2023,1918653143
2024,1024025969
2025,25161760
2026,1791174609
2027,21541844
2028,1351245165
2029,27167180
2030,27418367
2031,17475052
2032,771528594
2033,29208296
