,cafe,message
42,갤러리이니앤카페,조용한 제주을 찾으시면 갤러리카페 ini 찾아가보심도요 5윌의 향기정원과 음악 그리고 작가님 작품과 즐거운제주의향기을 맛볼수있는곳
43,갤러리카페다리,"좋아요!예쁘고 크고 넓구 작품들도 멋져요바뀌는 그림들도 이쁘고, 칸으로 구분된 공간은 의자도 편하고 같은 공간에 있는 사람들에게 집중할 수 있어서 좋아요❤ 음식도 맛있어요"
44,거기 제주,카페를 가려고 검색하다가 블로그 알바들에  지쳐서 그냥 해안도로를 가다가 우연히 들렸습니다. 작고아담한 조용한 분위기입니다. 강추
45,거북이처럼,모두 넘 좋아요 ~~^
46,거인의정원,"최근에 다녀왔는데 
사람이 많이 몰리는 일요일이었음에도 불구하고 
남자 사장님께서 혼자 주문 받고 음료 만드느라 
주문이 30분 이상 밀리는 일이 발생했습니다 
그날 하루의 일인지 평소에도 종종 그러는지... 
인기있는 장소이니만큼 매장 관리를 잘하셔야 할 것 같아요 
분위기는 참 좋아요 "
47,걱정말아요제주,"핸드드립 커피 있움

분위기 좋고

조용함

뷰는 떡히 없음

분명 케냐 aa를 시켰는데 탄듯한 쓴맛이 강하다

손님이 모를거라 생각해서 원두를 딴걸 썻거나 원두를 태운듯 싶다

"
48,건달다방,"케이크맛집 ♡건달치노 밀크티건달 밀크티와 건달치노
겨울엔 딸기가 들어가는 밀크티! 우유거품이 쫀쫀하고 퐁퐁 부드럽다. 비주얼도 너무 예쁨 ㅠ
건달치노는 캐슈넛밀크가 들어가서 건강하고 진한 고소함!분위기 좋고
건달치노 - 라떼인데 많이 달지않고 딱!
담엔 딸기류도 먹어봐야겠다!!

딸기라떼- 풍부한 거품 & 생딸기
딸기우유
바닐라빈라떼피렌체에서 맛본 유명 레스토랑의 티라미슈보다 훨씬 맛있어서 깜짝 놀랐습니다..... 정말 맛있었어요...티라미슈케익 중독성있네요     벌써 4개째 사러가는 길입니다"
49,건축카페 섶섬이보이는,여기 망한듯 문이 닫혀있음 결국 딴 데 감ㅡㅡ 근데 이 부근 카페 별로 없드라뷰도 좋고 카페가 조용해서 쉬기 좋네요~바다가 한눈에 보여요! 아늑해용자몽쥬스.섶섬이 보이는 풍경을 그린 이중섭님을  떠올리게 하네요
50,걷다워크인제주,"족욕카페(티+족욕5000원)

사장님의 서비스 엄지척        
족욕아이디어(컨텐츠) 엄지척      
인테리어 엄지척      
주차공간 적음   
차도 맛잇음         족욕카페 용암해수욕 30분 5천원+차값"
51,게우지코지인갤러리 커피하우스,경치 만점
52,겨를,Good :)
53,고구마카페,커피 싸고 맛있어요 그런대 내부에서 개냄새가 좀나서..... 오래있기힘들어요
54,고마워토토아뜰리에 카페,찾아가기 조금 어려웠는데 가서 보니 풍경이 너무 좋아서 힐링되었어요 ㅠㅠ 역시 제주 풍경은 좀 고지가 올라가야 멋있네요... 집에서 베이킹을 혼자 하기는 하는데 전문가의 팁을 들으니 이제까지 혼자 너무 대충 만들었구나 싶었어요... 소중한 사람들과 꼭 다시 같이 오고 싶은 곳...
55,고망딱새,"최악의 카페...
허니브레드 냉동도 잘 안풀고 ㅋㅋ
5살 혼자 아이스크림 먹눈다고 했는데..
세가지맛이면 다 먹는다네 ㅋㅋㅋ
허니브레 다시 데워준다네 ㅋㅋㅋㅋ너나 쳐 드세요^^친절함. 깨끗함. 커피맛 모두 괜찮음.  화덕피자맛은 아직 못봤음.  해질녘이나 ., 맑은데 바람부는날 아주 괜찮음!!"
56,고미미,"마카롱은 두터우나, 느끼한 편. 마카롱의 맛은 쫀득한 반죽이 돋보임. 안의 내용물의 호불호는 고려. 쿠키는 부드럽게 바삭하여 좋음. 커피는 보통의 맛."
57,고성리안,"친절하고 음료들도 맛있어요 스무디류 괜찮아요 벽면에 영화틀어놓으시는게 참 분위기있어요사장님 완전친절하시구  분위기굿 인생사진남길수 있는곳  글쓰러 자주 들리는 카폐입니다. 아담하고 아늑한 기분에 작업 효율이 올라가네요^^ 
음료의 맛도 더할나위 없이 좋습니다.2층으로 되어있는데 작아요~그치만 분위기 너무좋네요~인테리어도 잘되어있고 조용하게 즐길수있어요~^^  혼자거나 친구들이랑 조용한 분위기를 즐기고 싶으면 여기로 선택하면 딱!!!!!카페 감성이 너무 조와요ㅠㅠ 하나하나 신경쓴게 다 보였어요!!! 음료도 넘 맛있고 사장님도 완전 친절하십니다ㅎㅎ강추강추 아 그리고 브라우니도 너무 안달고 맛있어요~!"
58,고스란,딸기 스무디랑 오레오 치즈케이크 진짜 세상 존맛 꼭 가세오..
59,고스란히,"한 번 로스팅이 잘못된 거 같은 원두를 샀던 적이 있지만, 그거 말고는 라떼가 아주 맛있고 좋은 카페예요.스몰라떼. 비엔나커피
고스란히"
60,고희,"좋네요커피의 맛과 친절, 분위기 너무 좋습니다..."
61,골목카페옥수,"너무 좋았어요~ 
저는 원래 주문부터 하고 사진찍는 편이라 
밑에 평처럼 그런 기분나쁜? 일은 없었고요 
제주에서 갔던 카페들중 분위기가 젤 맘에들었어요 
평일에 가서 한적해서 그랬던거같아요! 
강아지도 너무 귀엽구요 ㅎㅎ밑에 분이 써놓은 것처럼 똑같이 당했네요. 기분좋게 들어가서 사진 찍고 있는데 들어간지 30초만에 주인 남자분이 나오시더니 들어와서 주문부터 하라고 하네요..당황스러웠지만 사진 찍고 들어가서 금방 주문할게요 웃으면서 이야기했는데도 똑같은 얘길 서너번씩 반복. 왜 주문부터 해야하냐니까 미리 안하면 주문이 밀린다는 둥 말같지도 않은 말을 하기에 너무 기분이 상해서 그냥 나왔어요. 절대 절대 가지마세요. 하루종일 좋았던 기분만 망치는 곳이에요. 제주시골집을 편안하고 예쁘게 꾸며놓은 곳, 에이드를 먹었는데 굉장히 향이 좋았고 꽃의 달콤함이 느껴지는 맛이었음
또다른 직원인 모모가 달려와 맞아줍니다. 터그놀이 한참 하다갔음. 주인분들 굉장히 친절합니다. 벌레 많고 디저트 별로임 가게는 예쁨 강아지도 귀여움차 있어야만 갈수있는곳  ㅠㅠㅠ 그리구 평일 오픈시간에 맞춰가면 짱좋아용 인테리어가 너무 이뻐요. 벚꽃라떼도 맛있어요.평일에 제주에 살고 있는 가족이 가보고 싶어했던 곳이어서 굳이 찾아 갔는데 입구 들어가며부터 둘러보자마자 시작한 주문타령. 여기서 먹자고 결정하고 형부가 차 다시 세우러 나가면서 언니랑 한장 찍어주고 동시에 주문하려고 들어가는중에 다시 하는 말 주문하시고 사진찍으라고 ;;;  이 모든게 5분 남짓 사이 주문하라느말을 세번 들었네요. 그거 두장도 아닌 한장에 표정을 그렇게 구기고 주문먼저 하고 찍으라고 말할건 뭔지? 제주에 이쁜 카페 널렸어요. 그러지 마세요. 카페전체가 포토존 소품 다 너무 귀엽고 레몬케이크 맛있었어요 "
62,공드리,"북촌에서 만났던 카페 공드리
오늘은 제주에서 만났습니다~

맛있는 커피와 함께 조용한 시간  보내고 싶으신 분에게 추천합니다.

(제주공항에서 한시간 111번, 112번 한방에 오실수 있어요)
-하차는 수산초등학교! 

*인근 핫 스팟; 책방무사, 빛의 벙커

"
