번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
232,성은교회 늘푸른대학,서울특별시 성동구 하왕십리동 974-10번지 ,,20091029,운영중,,,,,,,70,0,4,202646.046739       ,450993.712748       ,운영
233,어르신성경대학,서울특별시 성동구 옥수동 511-12번지 ,,20091029,운영중,,,,,,,84,1,26,,,운영
234,소망대학,서울특별시 성동구 행당동 346번지 ,,20091029,운영중,,,,,,,80,2,15,202511.142931       ,450401.303716       ,운영
235,안나회,서울특별시 성동구 금호동2가 760번지 ,,20100204,운영중,,,,,,,0,,,201907.540568       ,449917.0785         ,운영
236,왕십리교회노인교실,서울특별시 성동구 상왕십리동 304-3번지 ,,20080820,운영중,,,,,,,300,0,40,202075.967635       ,451547.655933       ,운영
237,금호제일노인대학,서울특별시 성동구 금호동4가 96번지 ,,20070302,운영중,,,,,,,200,1,3,202312.132764       ,449499.66317        ,운영
238,성심노인교실,서울특별시 성동구 홍익동 236번지 ,,20070928,운영중,,,,,,,80,0,10,202890.216894       ,451537.238967       ,운영
239,대한노인회서울특별시연합회부설노인교실,서울특별시 성동구 마장동 520-9번지 ,,20031126,운영중,,,,,,,50,0,3,203244.913097       ,451811.299239       ,운영
240,대한노인회서울특별시연합회부설노인교실,서울특별시 성동구 마장동 520-9번지 ,,20031126,운영중,,,,,,,50,0,3,203244.913097       ,451811.299239       ,운영
241,비전노인교실,서울특별시 성동구 송정동 73-566번지 ,,20050319,운영중,,,,,,,150,1,22,205980.401042       ,449882.571995       ,운영
242,한빛효대학,서울특별시 양천구 신월동 ,,20130906,운영중,,,,,,,92,,,,,운영
243,평광교회 GS(Golden Senior) 대학,서울특별시 양천구 목동 909-2번지 평광교회 ,,20120314,운영중,,,,,,,180,,,189712.460044       ,448457.118416       ,운영
244,신월중앙교회 평생대학,서울특별시 양천구 신월동 ,,20120406,운영중,,,,,,,0,,,,,운영
245,대한교회 노인교실,서울특별시 양천구 신정동 대한교회 ,,20120426,운영중,,,,,,,0,,,,,운영
246,목동중앙 노인교실,서울특별시 양천구 신정동 281-8번지 ,,20090901,운영중,,,,,,,0,1,3,188613.991434       ,446129.318713       ,운영
247,소명교회 노인교실,서울특별시 양천구 신월동 493-18번지 ,,20080612,운영중,,,,,,,50,0,2,186351.045          ,446783.87           ,운영
248,새마음노인교실,서울특별시 양천구 신월동 105-7번지 ,,20080220,운영중,,,,20120308,,,60,0,6,185400.170905       ,447995.980483       ,운영
249,늘푸른 실버대학,서울특별시 양천구 신월동 ,,20080220,운영중,,,,,,,80,0,2,,,운영
250,샘터 노인교실,서울특별시 양천구 목동 222-51번지 ,,20080220,운영중,,,,,,,70,0,2,188709.603172       ,448462.282195       ,운영
251,목동교회 노인교실,서울특별시 양천구 목동 315-50번지 ,,20080220,운영중,,,,,,,60,0,2,188273.32154        ,448745.196713       ,운영
252,신월동성당노인교실,서울특별시 양천구 신월동 436-1번지 ,,20060220,운영중,,,,,,,100,0,10,185592.848471       ,446732.06664        ,운영
253,사랑 노인교실,서울특별시 양천구 신월동 509-8번지 ,,20060601,운영중,,,,,,,50,0,6,186203.004924       ,446680.050386       ,운영
254,참살이노인교실,서울특별시 양천구 신월동 164-10번지 ,,20060914,운영중,,,,,,,60,0,4,184737.768933       ,447893.866556       ,운영
255,금빛새마을금고 노인교실,서울특별시 양천구 신월동 601-3번지 3층 ,,20070910,운영중,,,,,,,80,0,2,186141.564455       ,446357.071309       ,운영
256,실로암 방주교회 노인교실,서울특별시 양천구 신정동 311-11번지 ,,20050310,운영중,,,,,,,100,1,100,187169.070737       ,446311.114168       ,운영
257,신정노인교실,서울특별시 양천구 신월동 519-1번지 ,,20050916,운영중,,,,,,,70,0,13,185822.8137         ,446581.151657       ,운영
258,반석교회노인교실,서울특별시 양천구 신정동 1147-1번지 ,,20051013,운영중,,,,,,,50,2,7,187021.796282       ,446023.034127       ,운영
259,한성교회노인교실,서울특별시 양천구 신정동 758-1번지 ,,20050119,운영중,,,,,,,100,0,2,186011.062221       ,445458.742003       ,운영
260,해나리은빛 노인교실,서울특별시 양천구 목동 905-3번지 ,,20030507,운영중,,,,,,,230,1,2,189066.528901       ,447908.192054       ,운영
261,열린실버 노인교실,서울특별시 양천구 신월동 56-8번지 ,,20040318,운영중,,,,,,,0,0,6,184841.903288       ,448512.055736       ,운영
262,목민대학 노인교실,서울특별시 양천구 신정동 1191-5번지 ,,20050114,운영중,,,,,,,110,5,15,186766.147746       ,446613.228961       ,운영
263,산돌교회 노인교실,서울특별시 양천구 목동 927-3번지 ,,20050119,운영중,,,,,,,55,0,8,188205.467518       ,447024.07738        ,운영
264,등촌교회 노인교실,서울특별시 양천구 목동 626-19번지 ,,20050119,운영중,,,,,,,100,0,17,188039.057205       ,449354.404105       ,운영
265,한성교회 노인교실,서울특별시 양천구 신정동 758-1번지 ,,20050119,운영중,,,,,,,100,4,22,186011.062221       ,445458.742003       ,운영
266,목동성당 로사리오 노인교실,서울특별시 양천구 신정동 318번지 ,,20050119,운영중,,,,,,,110,0,17,188397.921536       ,446751.183918       ,운영
267,에덴노인교실,서울특별시 양천구 목동 909-9번지 ,,20050124,운영중,,,,,,,150,1,4,189606.474102       ,448283.828957       ,운영
268,요셉노인교실,서울특별시 양천구 신정동 975-1번지 ,,19901201,운영중,,,,,,,0,0,0,187123.814802       ,446674.067399       ,운영
269,천주교등촌성당 요셉노인교실,서울특별시 양천구 목동 626-15번지 ,,19901218,운영중,,,,,,,175,0,2,188052.372671       ,449394.454718       ,운영
270,(사)대한노인회 양천구지회 부설 노인교실,서울특별시 양천구 신정동 296-91번지 ,,19901218,운영중,,,,,,,80,0,2,188720.130741       ,446360.291925       ,운영
271,양천노인교실,서울특별시 양천구 목동 610-9번지 ,,19950412,운영중,,,,,,,60,0,2,188125.706865       ,449615.800811       ,운영
272,강남교회노인교실,서울특별시 양천구 신월동 103-23번지 ,,19971028,운영중,,,,,,,77,0,2,185292.799167       ,448050.79057        ,운영
273,명문노인교실,서울특별시 양천구 신정동 911-7번지 지층호,,19981204,운영중,,,,,,,0,0,2,187436.998527       ,447184.745108       ,운영
274,동아노인교실,서울특별시 양천구 신월동 76-7번지 ,,20010228,운영중,,,,,,,96,0,7,184941.2165         ,448357.405361       ,운영
275,번동노인교실,서울특별시 강북구 번동 417-15번지 ,,20090302,운영중,,,,,,,50,0,2,202405.253016       ,459558.286924       ,운영
276,삼양교회 소망회,서울특별시 강북구 미아동 791-2143번지 ,,20090305,운영중,,,,,,,69,1,10,201525.182767       ,457630.40986        ,운영
277,신성북교회노인교실,서울특별시 강북구 미아동 791-412번지 ,,20090909,운영중,,,,,,,0,0,10,201663.53208        ,458337.009845       ,운영
278,백운노인대학,서울특별시 강북구 수유동 543-1번지 ,,20070213,운영중,,,,,,,174,0,6,200831.774421       ,460248.439693       ,운영
